,Prediate,Tense,ActivePred,Cannon,Negation,Episataus,Comments
,treat,present,,,,,
,not treat,present,,,TRUE,,
,will treat,future,,treat,,,
,can treat,future,,treat,,,
,might treat,future,,treat,,speculative,
,may treat,future,,treat,,speculative,
,could treat,future,,treat,,speculative,
,treats,present,,treat,,,
,can not treat,present,,treat,TRUE,,
,treated,past,,treat,,,
,can't treat,present,,treat,TRUE,,
,is treated by,present,treat,,,,
,are treated by,present,treat,,,,
,was treated by,past,treat,,,,
,were treated by,past,treat,,,,
,is not treated by,present,not treat,,TRUE,,
,isn't treated by,present,not treat,,TRUE,,
,was not treated by,past,not treat,,TRUE,,
,wasn't treated by,past,not treat,,TRUE,,
,were not treated by,past,not treat,,TRUE,,
,can not be treated by,present,not treat,,TRUE,,
,cannot be treated by,present,not treat,,TRUE,,
,can't be treated by,present,not treat,,TRUE,,
,will not be treated by,future,not treat,,TRUE,,
,won't be treated by,future,not treat,,TRUE,,
,will not treat,future,,not treat,TRUE,,
,won't treat,future,,not treat,TRUE,,
,cannot treat,present,,not treat,TRUE,,
,did not treat,past,,not treat,TRUE,,
,didn't treat,past,,not treat,TRUE,,
,does not treat,present,,not treat,TRUE,,
,doesn't treat,present,,not treat,TRUE,,
,is thought to treat,present,,treat,,speculative,
,was thought to trreat,past,,treat,,speculative,
,were thought to treat,past,,treat,,speculative,
,has been thought to treat,past,,treat,,speculative,
,have been thought to treat,past,,treat,,speculative,
,is thought to be treated by,present,treat,,,speculative,
,was thought to be treated by,past,treat,,,speculative,
,were thought to be treated by,past,treat,,,speculative,
,is thought to have been treated by,past,treat,,,speculative,
,was thought to have been treated by,past,treat,,,speculative,
,were thought to have been treated by,past,treat,,,speculative,
,has been thought to have been treated by,past,treat,,,speculative,
,have been thought to have been treated by,past,treat,,,speculative,
,has been thought to be treated by,past,treat,,,speculative,
,have been thought to be treated by,past,treat,,,speculative,
,prevent,present,,,,,
,not prevent,present,,,TRUE,,
,can prevent,future,,prevent,,,
,might prevent,future,,prevent,,speculative,
,may prevent,future,,prevent,,speculative,
,could prevent,present,,prevent,,speculative,
,prevents,present,,prevent,,,
,prevented,past,,prevent,,,
,is prevented by,present,prevent,,,,
,are prevented by,present,prevent,,,,
,was prevented by,past,prevent,,,,
,were prevented by,past,prevent,,,,
,is not prevented by,present,not prevent,,TRUE,,
,isn't prevented by,present,not prevent,,TRUE,,
,was not prevented by,past,not prevent,,TRUE,,
,wasn't prevented by,past,not prevent,,TRUE,,
,were not prevented by,past,not prevent,,TRUE,,
,weren't prevented by,past,not prevent,,TRUE,,
,can not be prevented by,present,not prevent,,TRUE,,
,cannot be prevented by,present,not prevent,,TRUE,,
,can't be prevented by,present,not prevent,,TRUE,,
,will not be prevented by,future,not prevent,,TRUE,,
,won't be prevented by,future,not prevent,,TRUE,,
,will not prevent,future,,not prevent,TRUE,,
,won't prevent,future,,not prevent,TRUE,,
,can not prevent,future,,not prevent,TRUE,,
,cannot prevent,present,,not prevent,TRUE,,
,can't prevent,futurre,,not prevent,TRUE,,
,did not prevent,past,,not prevent,TRUE,,
,didn't prevent,past,,not prevent,TRUE,,
,does not prevent,present,,not prevent,TRUE,,
,doesn't prevent,present,,not prevent,TRUE,,
,is thought to prevent,present,,prevent,,speculative,
,was thought to prevent,past,,prevent,,speculative,
,were thought to prevent,past,,prevent,,speculative,
,has been thought to prevent,past,,prevent,,speculative,
,have been thought to prevent,past,,prevent,,speculative,
